Movie Name,Kevin's Rating,Unnamed: 2,Watch Date,Ryan's Rating,Sebastian's Rating,Darrell's rating ,DB ID,IMDB ID,Long Title,IMDB URL (don't edit me),Corrected IMDB (edit me!),year,rating,runtimes,genres,votes,director,cast,writer,production companies
The Iron Claw,8/10,,2024-01-10,,,,21064584,21064584,The Iron Claw (2023),https://www.imdb.com/title/tt21064584,,2023,7.6,132,"['Biography', 'Drama']",101503,['1699934'],"['0564697', '0005491', '14579839', '14261772', '1374980', '6170168', '0409186', '0346144', '2467517', '3679834', '0363669', '0230897', '3040172', '5122812', '4141252', '1731638', '2087739', '0660244', '11755822', '14143595', '15378533', '6772483', '5349746', '0386924', '0322282', '9638347', '2005964', '9185259', '15004670', '3803706', '14175231', '8948270', '7706559', '2931894', '5307554', '1138926', '15784056', '14684952', '8427859', '14156634', '3819687', '12962760', '11152652', '13196015', '5341176', '12562501', '4766432', '9195251']",['1699934'],"['0390816', '0635417', '0103694', '0601402']"
Candy Jar,7/10,,2024-01-10,,,,6744044,6744044,Candy Jar (2018),https://www.imdb.com/title/tt6744044,,2018,5.8,92,"['Comedy', 'Drama']",5699,['1828040'],"['3632976', '3774109', '0074477', '0000166', '1186450', '8925810', '8925811', '0376716', '2499064', '5466890', '8402421', '7809435', '6190586', '0280409', '0085214', '4266566', '5472850', '7228705', '2111132', '6931802', '6591122', '5153709', '3971762', '0389557', '7581396', '3147385', '2435560', '0641914', '0949794', '5976574', '5032679', '7871423', '12957700', '8092405', '8277132', '8629294', '9003768', '8742253', '6573282', '7716568', '7968748', '6768665', '6034484', '6146367', '8959216', '9278657', '8811874', '8841833']",['7949546'],
Megamind,7/10,,2024-01-11,,,,1001526,1001526,Megamind (2010),https://www.imdb.com/title/tt1001526,,2010,7.3,95,"['Animation', 'Action']",307019,['0569891'],"['0002071', '0000093', '0275486', '1706767', '0189144', '0001774', '0857620', '1470330', '0569891', '3961654', '0799777', '4137298', '3175092', '2326037', '0971017', '0593610', '2624549', '0088269', '0443911']","['0774786', '2523794']","['0129164', '0069464', '0039303']"
Chef,7/10,,2024-01-11,,,,2883512,2883512,Chef (2014),https://www.imdb.com/title/tt2883512,,2014,7.3,114,"['Adventure', 'Comedy']",240406,['0269463'],"['0269463', '0000491', '0134072', '3492402', '0424060', '0000163', '0005527', '0001624', '0781238', '0000375', '0992289', '6418381', '3561592', '0762121', '6418382', '6418383', '2189904', '6418384', '6418385', '6418386', '3103935', '6418387', '6418388', '5079121', '2237175', '3467605', '1820951', '5457419', '2707882', '4065991', '1769148', '4665631', '6197348', '3855591', '6494513', '5302698', '2811689', '6745368', '4061809', '0238142', '10369136', '5886222', '2844943', '4707141', '4317247', '3979040', '4744011', '0364987', '1109559', '0414789', '3564702', '5833228', '5861463', '3345359', '4160539', '10065966', '4126425', '5926820', '4161352', '1843748', '5705457', '6395212', '1041052', '2360853', '3681508', '3946497', '1150442', '3918528', '6084510', '7842606', '1524736', '6599403', '5067760', '5301845', '5295066', '2959689', '6080909', '6011323', '9808392', '3046500', '5922102', '2421288', '3418410', '5378730', '5218242', '2322135', '4453043']",['0269463'],"['0335687', '0008347', '0364637']"
Happiness for Beginners,8/10,,2024-01-12,,,,15509244,15509244,Happiness for Beginners (2023),https://www.imdb.com/title/tt15509244,,2023,6.1,103,"['Comedy', 'Drama']",20906,['0907328'],"['2608689', '2093766', '4456672', '0001100', '4213259', '9759744', '10553002', '6262342', '3115752', '4337039', '0918195', '3894653', '0089665', '12317985', '12276860']","['0907328', None, '6959883']",['0672539']
Mission Impossible: Dead Reckoning,7/10,,2024-01-13,,,,9603212,9603212,Mission: Impossible - Dead Reckoning Part One (2023),https://www.imdb.com/title/tt9603212,,2023,7.6,163,"['Action', 'Adventure']",279167,['0003160'],"['0000129', '2017943', '0000609', '0670408', '0272581', '3948952', '0005246', '2962353', '0001089', '0924154', '8241861', '5520750', '6375242', '0000144', '0663174', '0309693', '0890055', '3008739', '0544903', '7395686', '15026319', '8718936', '0233949', '4902337', '1707712', '1345685', '9433074', '15026320', '8422232', '9502207', '8705477', '3423766', '8641318', '13058511', '5328810', '2097479', '11781544', '1631223', '3596725', '3788479', '2617914', '2544665', '1961204', '0442997', '7950698', '6348417', '15026321', '3721084', '9022308', '6874401', '2743835', '2613320', '2799182', '9062404', '1424285', '1614523', '4191772', '1163871', '4619368', '0015989', '7719103', '9979375', '8000981', '3172655', '15026322', '11488400', '1111982', '15026323', '15026324', '9012798', '9499977', '4221848', '9948670', '10857779', '9051944', '9615909', '15475969', '5867928', '11529000', '13826952', '13764897', '13249156', '4263209', '9287381', '12471624', '11310724', '5869260', '15927408', '3467706', '10317423', '7887724', '10809085', '13283922', '8958189', '14155414', '13580290', '10847998', '14321417', '12863914', '4069122', '14035968', '2427097', '12353218', '13412112', '4452726', '6680316', '7395518', '1880088', '0766736', '8004657']","['0312367', None, '0003160', '0420701']","['0023400', '0152219', '0361287', '0942778']"
A Haunting in Venice,6/10,,2024-01-13,,,,22687790,22687790,A Haunting in Venice (2023),https://www.imdb.com/title/tt22687790,,2023,6.5,103,"['Crime', 'Drama']",129020,['0000110'],"['0000110', '11459494', '5011084', '1249052', '15129301', '1644055', '0275486', '0579696', '1891185', '0717709', '11879379', '14284660', '1946193', '10943204', '14037697', '0000706', '10058940', '15201571', '13650940', '9981698', '6563873', '9890433', '15201572', '7718901', '9971310', '3764470', '3318988']","['0338169', None, '0002005']","['0781821', '0566686', '0074212', '0420822', '0085751']"
Love in Taipei,4/10,,2024-01-14,,,,11947100,11947100,Love in Taipei (2023),https://www.imdb.com/title/tt11947100,,2023,5.8,92,"['Comedy', 'Romance']",990,['1789897'],"['5224900', '6161091', '9569934', '4499755', '0156461', '15011919', '3977261', '15012671', '15016649', '15012672', '3114623', '15016650', '6601003', '2823294', '13551126', '7657049', '15016651', '2943360', '8731852', '5425520', '8261293', '10339002', '13325814', '15012698', '14584095', '10809792', '12537194', '9367313', '15089079', '9780347', '0497853']","['9334905', None, '5112717', None, '11413821']","['1005740', '0086943']"
Birdman,7/10,,2024-01-14,,,9/10,2562232,2562232,Birdman or (The Unexpected Virtue of Ignorance) (2014),https://www.imdb.com/title/tt2562232,,2014,7.7,119,"['Comedy', 'Drama']",679426,['0327944'],"['0000474', '1297015', '2196179', '3691128', '0302108', '0915208', '0787892', '2057859', '1255832', '0949433', '0793661', '4510749', '1932619', '0923266', '0001570', '0796251', '0585485', '0752407', '0949208', '0242026', '0996134', '0276435', '6827712', '1169115', '0307534', '5320496', '0150740', '6177958', '4009412', '0196185', '1445699', '3465071', '4302007', '4295500', '6827714', '0725975', '0181068', '4073119', '0131966', '0918616', '0388931', '0012289', '1139336', '1891706', '3994672', '0085959', '2086925', '1428452', '0786824', '0277979', '3529471', '4371227', '5215382', '4748057', '6169761', '5365553', '4932442', '3678814', '5004140', '4025555', '0154893', '6560657', '5039188', '4677506', '6221550', '0206449', '6670571', '4457937', '5193341', '6722724', '2513964', '2770519', '5353047', '5938752', '1235280', '5342262', '2848997', '4371164', '5119334', '4567881', '4632493', '5047450', '2935640', '3018179', '4695901', '6791359', '6876469', '4877241', '0572998', '4686279', '2642128', '0625910', '5942560', '5065258', '2296726', '4388566', '0668436', '5866250', '6070274', '4785703', '5912470', '1909028', '2174884', '4510522', '5904656', '0750419', '3221124', '5889216', '4261974', '6004313', '4606767', '5895210', '5153283', '2388370', '0861574', '3674094', '6591670', '4043418', '5356479', '2450269', '6346285', '3829017']","['0327944', '1481172', '5409486', '3174584', None, '0142577']","['0007127', '0186210', '0307345', '0420822', '0001099']"
The Beekeeper,6/10,,2024-01-14,,,,15314262,15314262,The Beekeeper (2024),https://www.imdb.com/title/tt15314262,,2024,6.3,105,"['Action', 'Crime']",150809,['0043742'],"['0005458', '8287501', '2373989', '1242688', '0000460', '4268006', '1981574', '2837751', '0711118', '0714876', '0000378', '1173717', '11217642', '0162281', '1873660', '1161961', '0657794', '3685723', '1717170', '8552432', '12362727', '0111730', '7456869', '0372041', '9699455', '7540556', '8509566', '6526717', '0169512', '15533773', '11080131', '8126534', '6875258', '1446697', '15533775', '5795235', '5126775', '3687791', '3959336', '15488201', '4803664', '8148631', '13275730', '6838531', '14789613', '8124629', '14258732', '15966361', '5894201', '15333548', '9511492', '16210605']",['0934483'],"['0022594', '0680454', '1023645']"
