Movie Name,Kevin's Rating,Unnamed: 2,Watch Date,Ryan's Rating,Sebastian's Rating,Darrell's rating ,DB ID,IMDB ID,Long Title,IMDB URL (don't edit me),Corrected IMDB (edit me!),year,rating,runtimes,genres,votes,director,cast,writer,production companies
Horrible Bosses 2,8/10,,2024-03-21,,,,2170439,2170439,Horrible Bosses 2 (2014),https://www.imdb.com/title/tt2170439,,2014,6.3,108,"['Comedy', 'Crime']",188711,['1890845'],"['0000867', '0837177', '0206359', '0000098', '0000228', '0004937', '1517976', '0910607', '0052186', '0005441', '1221047', '1261587', '1208801', '3931538', '3526370', '0692493', '3496051', '1004811', '1035082', '3273981', '4794276', '1106793', '0620232', '1648149', '2952467', '0175415', '1097364', '1889772', '3620882', '0402360', '2093400', '3576410', '2101748', '2345347', '3332521', '2980893', '2326333', '1931742', '1577985', '0530882', '0943156', '0739645', '4635997', '4306280', '2909963', '5545391', '6234459', '6931800', '5175372', '6331754', '3491370', '3370819', '1767162', '6681424', '4637437', '6604701', '2542759', '4049197', '4874091', '5503852', '2226919', '5623550', '1367863', '5779059', '5202448', '4834738', '1461082', '4104431']","['1890845', '1898234', None, '0326246', '0197855', '1890845', '1898234', None, '0002864']","['0044439', '0046718', '0430860']"
The Zookeeper,4/10,,2024-03-22,,,,1222817,1222817,Zookeeper (2011),https://www.imdb.com/title/tt1222817,,2011,5.2,102,"['Comedy', 'Family']",67041,['0178997'],"['0416673', '0206257', '0004753', '0421822', '0005531', '0736579', '0269542', '0478518', '0048169', '0864490', '0878155', '0332052', '0444749', '0048170', '0884230', '2301889', '4295841', '1338842', '4296268', '1640523', '1008191', '3192863', '1156788', '1561382', '2618730', '3602137', '2923350', '0173297', '0076444', '1031252', '0000560', '0001191', '0000230', '0000333', '0031976', '0269463', '0522324', '0748973', '1008015', '0725543', '0108028', '1573849', '0940430', '0584114', '3627344', '3077057', '1212069', '1212484', '2104733', '3587960', '2257697', '12755850', '3793552', '0174252', '6684214', '3772149', '4119820', '3185582', '4809445', '3720966', '1585038', '3413370', '4203019', '4494587', '7359604', '4473191', '3644754', '4099787', '3157537', '1896358', '13055126', '3827675', '0443248', '2841197', '3725085', '4707354', '3984374', '3682346', '6283590', '1796602', '3578341', '4619754', '3566356', '3096946', '2640714', '2835839', '4304151', '4488891', '2909368', '1759449', '4066642', '4558762', '1995226', '0770719', '4056050', '6721757', '6812221', '4591343', '3075140', '4242755', '4013026', '7544527', '3796441']","['0048169', '0720609', '0416673', '0771065', '0740115', None, '0771065', '0740115']","['0050868', '0007143', '0163543', '0263395', '0059609', '0371180']"
Upgraded,7/10,,2024-03-24,,,,21830902,21830902,Upgraded (2024),https://www.imdb.com/title/tt21830902,,2024,6.1,104,"['Comedy', 'Romance']",28328,['2584304'],"['6161516', '8850556', '0000673', '0000565', '0372117', '0470981', '2771436', '7847287', '6826652', '2948025', '3683006', '8090765', '6980206', '10280843', '11277772', '6100156', '0472778', '5067614', '0370303', '3594282', '15725391', '8880216', '3424227', '7170885', '1445130', '9455416', '13393718', '14001195', '5213693', '7015961', '11066207', '13988547', '10978988', '2876028', '6093369', '2427097', '2584304']","['1211790', '8020147', '6845927']","['0319272', '0391448', '0319272', '0391448', '0090180', '0104718', '0792826']"
Anatomy of a Fall,6/10,,2024-03-25,,,,17009710,17009710,Anatomy of a Fall (2023),https://www.imdb.com/title/tt17009710,,2023,7.6,151,"['Crime', 'Drama']",169412,['2630323'],"['1197689', '0035128', '12299991', '6995530', '2707986', '2021640', '2161889', '4166709', '9880656', '0277230', '15230869', '14880257', '5716162', '14880258', '9593284', '8722455', '14880259', '14880260', '2047841', '2306816', '1416431', '2022637', '6421991', '1932959', '11250094', '12827740', '14880261', '13449043', '0431130', '14880262', '14880263', '6049693', '14880264', '2818391', '14880265', '0078384', '12958872', '14880266', '14880267', '5693130', '12192038', '14880268', '8718614', '12958891', '12958875', '4379181', '10678283', '12958893', '14880269']","['2630323', '1932959']","['0032342', '0275730', '0056755', '0625796', '0028557', '0346444', '0125554', '0031991', '0618856', '0613914', '0139861', '0924279', '0972621', '0973459', '0917492', '0917489', '0980683']"
Ghostbusters: Frozen Empire,5/10,,2024-03-27,,,,21235248,21235248,Ghostbusters: Frozen Empire (2024),https://www.imdb.com/title/tt21235248,,2024,6.1,115,"['Adventure', 'Comedy']",91235,['1481493'],"['0748620', '4689420', '6016511', '5085683', '3529685', '0652663', '9305936', '10594234', '3014840', '4735423', '0000195', '0000101', '0001368', '0001633', '0040472', '1479138', '0876543', '0745232', '6641776', '12276392', '3746305', '0121861', '7087425', '1077299', '1613839', '1490219', '0570916', '4367369', '1488577', '14556078', '2897598', '1490128', '1935694', '2681647', '8169015', '10400661', '13574214', '4946616', '5612941', '2049635', '3448984', '9799055', '5286505', '9232789', '13517919', '15369628', '7846596', '8886849', '4255192', '8775394', '5246065', '0452592', '2278982', '0171625', '7859308', '9468165', '14080738', '12006709', '12225999', '13328880', '13763112', '1481493', '14625783', '8884936', '2599378', '14035968', '2094029', '15276093', '13802387', '13934688', '1501842', '13731770']","['1481493', '0718646', None, '0718645', None, '0000101', '0000601']","['0050868', '0526864', '0420822', '0309252', '0191414', '0280848', '1054192', '0026545', '0031449']"
Vacation,7/10,,2024-04-01,,,,1524930,1524930,Vacation (2015),https://www.imdb.com/title/tt1524930,,2015,6.2,99,"['Adventure', 'Comedy']",125999,"['0197855', '0326246']","['1159180', '0000775', '1711114', '4347315', '1165110', '0005182', '0000331', '0000350', '0206359', '4247844', '0515296', '0005342', '1221047', '0356021', '6957616', '5817847', '1802209', '1727367', '0647698', '0671567', '3726623', '0166359', '0004988', '3457198', '4944354', '2566697', '4942910', '2588166', '0142206', '3836450', '0018650', '3969329', '2732155', '1010938', '0271759', '2360398', '2349949', '1494966', '7468661', '0197855', '11318418', '5759134', '6950472', '7178513', '5388806', '5061947', '5389101', '6535477', '6552165', '4991879', '7029618', '5550236', '4450923', '4810368', '7076710', '6636741', '1616567', '5551761', '4878522', '9324814', '5535767', '6708940', '3407720', '5235601', '6200169', '0326246', '6871281', '3526071', '5576207', '6715275', '4239141', '9531960', '5863701', '6878671', '6669551', '6669486', '3136424', '11526024', '2841197', '3249362', '3206741', '6662924', '0505949', '9681611', '3577981', '5126062', '6961615', '6866022', '7036905', '6440499', '5672221', '6887746', '5620230', '5623550', '6377106', '6768665', '2095000', '6702243', '6555698', '6269066', '6568263', '6560824', '6995244', '6049146', '6955402']","['0326246', '0197855', None, '0000455']","['0046718', '0449458', '0044439', '0246151', '0221271']"
Wish,5/10,,2024-04-05,,,,11304740,11304740,Wish (2023),https://www.imdb.com/title/tt11304740,,2023,5.6,95,"['Animation', 'Adventure']",45571,"['0118333', '3086932']","['3663196', '1517976', '0876138', '2512132', '0001255', '5625020', '4454114', '2957490', '11827577', '1404239', '3858973', '4339544', '5415922', '0949775', '11701368', '12849433', '6105016', '3721359', '3066573', '0000525', '1840659', '10147124']","['1601644', '5365495', None, '1601644', '0118333', '3086932', '5365495', None, '2788015', '3039386']","['0008970', '0074039', '0041001']"
Talladega Nights,6/10,,2024-04-08,,,,0415306,0415306,Talladega Nights: The Ballad of Ricky Bobby (2006),https://www.imdb.com/title/tt0415306,,2006,6.6,108,"['Comedy', 'Sport']",205994,['0570912'],"['0002071', '0000604', '0056187', '0170550', '0003817', '0004753', '0528331', '0010736', '0725200', '0788340', '0314524', '0462712', '1442113', '0731168', '0385757', '2713985', '1151921', '2336223', '2336634', '1229488', '0570912', '0454900', '1060352', '2325905', '2121869', '2124254', '0361381', '0899087', '2336489', '1631854', '1573703', '1267353', '1661409', '0184974', '1300116', '1443527', '0101483', '1458269', '2112973', '2336254', '2252907', '0123148', '0852374', '1505056', '1408876', '0936364', '0465572', '0004845', '0080049', '2307091', '0663778', '1570158', '0088269', '1546187', '2336608', '1716768', '6836113', '2374736', '0086650', '2701615', '9479174', '1153581', '3067900', '8399294', '5550236', '2185595', '2744095', '7078233', '2151984', '3894412', '2117255', '0366369', '1987866', '2352407', '0002756', '0427465', '3188395', '2976977', '0491590', '10809244', '0522268', '3926285', '0522919', '2053162', '7681413', '11645692', '2006208', '0615812', '3231489', '10886099', '1001651', '2291621', '8767404', '1782820', '1742451', '7897877', '2469728', '6559790', '1917264']","['0002071', '0570912']","['0050868', '0142678', '0073081', '0037759', '0218378', '0165798', '0093323']"
Unbreakable,6/10,,2024-04-08,,,,0217869,0217869,Unbreakable (2000),https://www.imdb.com/title/tt0217869,,2000,7.3,106,"['Drama', 'Mystery']",454205,['0796117'],"['0000246', '0000168', '0000705', '0004829', '0940128', '0907708', '0005462', '0417189', '0140936', '0160542', '0492746', '0240454', '0716438', '0446257', '0446672', '0051479', '0206449', '0359695', '0663581', '0183573', '0949433', '0731582', '0837410', '0614208', '0796117', '0626965', '0735376', '0767765', '0913545', '0928640', '0395251', '0077685', '0248602', '0493356', '0948823', '0024511', '0750808', '0372017', '0746478', '0322771', '0859117', '1042824', '3411922', '1863461', '10556025', '3239688', '1239336', '0101119', '0146268', '1237399', '2067691', '2408584', '4313392', '0401628', '1693977', '4329037', '0466277', '11803628', '1035646', '5177166', '1030846', '1440347', '1214746', '0545756', '0553304', '6563025', '5881305', '0646996', '11623590', '0673776', '0681772', '0693745', '0697237', '3075366', '1588681', '1123216', '6761809', '10232652', '0755074', '3606340', '5294565', '1883022', '1302483', '1837941', '10467845', '0908247', '1911483', '2544575', '2686102']",['0796117'],"['0049348', '0054054', '0018092', '0145526']"
Split,8/10,,2024-04-09,,,,4972582,4972582,Split (2016),https://www.imdb.com/title/tt4972582,,2016,7.3,117,"['Horror', 'Thriller']",584889,['0796117'],"['0564215', '5896355', '0000990', '4726634', '4088627', '6732359', '0377034', '1278376', '0400223', '0913545', '8706999', '0446830', '0796117', '2674188', '8707000', '1869872', '7613732', '0665952', '3944003', '3014982', '1398898', '5453212', '5646755', '1419977', '6795634', '2280829', '0277794', '0934522', '6366501', '7111794', '1731680', '7250135', '2771316', '5561227', '6610652', '1659122', '4765040', '1204856', '2223368', '0228171', '5708194', '4213217', '3201813', '1967694', '4285235', '4464653', '1042824', '7686258', '3843626', '9424480', '2582484', '7021823', '8865894', '6954064', '1909028', '1588681', '0752845', '3491108', '5294565', '4303879', '6906021', '0000246', '7258739']",['0796117'],"['0005073', '0054054', '0098315', '0169264', '0055529', '0079995']"
Glass ,5/10,,2024-04-09,,,,6823368,6823368,Glass (2019),https://www.imdb.com/title/tt6823368,,2019,6.6,129,"['Drama', 'Horror']",290176,['0796117'],"['0564215', '0000246', '0000168', '5896355', '0005299', '0004829', '0940128', '0456186', '4311436', '0796117', '6858629', '9537602', '6451042', '7558863', '4617530', '5210480', '2718408', '2674188', '10431209', '9564200', '1094073', '0417189', '0005462', '0322771', '0556624', '0160542', '0913545', '10409441', '0933096', '1708414', '8347317', '3064690', '2060269', '5604742', '4412852', '10409442', '10409443', '9542517', '10240944', '0243637', '10409445', '10412717', '7759754', '3791787', '1691916', '8469169', '7111794', '6922076', '2763141', '2771316', '8430083', '4134604', '1483917', '9380271', '10070160', '6610652', '8202455', '6858611', '5718327', '9392233', '11120362', '6094560', '8999838', '6518022', '1659122', '1591514', '3110296', '10414394', '3932201', '5079324', '6726578', '6726579', '6221550', '12587261', '7531283', '0231932', '8245577', '9639444', '9780650', '5241466', '9442910', '9636925', '2720008', '6105190', '1967694', '4285235', '5207682', '3964015', '8508255', '7585473', '5948854', '5138403', '2404639', '9410694', '7662127', '5165550', '9505795', '6275914', '9781214', '7280855', '3570594', '9424480', '2582484', '2482364', '9510139', '8715475', '3119196', '5686319', '2815903', '7395467', '5746962', '0629691', '9803967', '7533910', '8693972', '0661850', '4133767', '9320112', '9800039', '7909263', '8961876', '2993145', '0697237', '1909028', '7792098', '10864228', '7772443', '1588681', '3603140', '0752845', '3491108', '5319200', '5294565', '8165542', '5226857', '8331597', '1294994', '8165684', '8936624', '9511371', '5182914', '8961875', '10327938', '6912417', '10041175', '10413799', '5044692', '7258739', '6981687', '2342888', '9467506', '7989190']","['0796117', None, '0796117']","['0000779', '0005073', '0054054', '0098315', '0739708']"
Peanut Butter Falcon,9/10,,2024-04-09,,,,4364194,4364194,The Peanut Butter Falcon (2019),https://www.imdb.com/title/tt4364194,,2019,7.6,97,"['Adventure', 'Comedy']",112370,"['2436566', '1916835']","['5789377', '0682283', '0424848', '0001136', '0479471', '0002006', '9155869', '1256532', '2591283', '0370035', '4128654', '6050969', '2262389', '0818013', '4945586', '5086312', '10015107', '0214916', '3986223', '0731195', '11253802', '11253803', '11253804', '0284201', '5342497', '8008669', '8938112', '8807146']","['2436566', '1916835']","['0368217', '0718145', '0063938', '0670857', '0951662', '0474842', '0223387', '0667727']"
Pirates: Band of Misfits,5/10,,2024-04-10,,,,1430626,1430626,The Pirates! Band of Misfits (2012),https://www.imdb.com/title/tt1430626,,2012,6.7,88,"['Animation', 'Action']",52681,"['0520485', '0627920']","['0000424', '0293509', '0001767', '0855039', '0005315', '0000161', '0377901', '0000306', '0869871', '0947338', '0322407', '0421332', '0737963', '2038317', '1047630', '0773768', '2889463', '1544308', '5011606', '0520485', '1315378', '0769442', '1659086']","['2704527', None, '2704527', None, '0147700', '0726978']","['0050868', '0121181', '0103531']"
Monkey Man,6/10,,2024-04-12,,,,9214772,9214772,Monkey Man (2024),https://www.imdb.com/title/tt9214772,,2024,6.8,121,"['Action', 'Crime']",88853,['2353862'],"['2353862', '3329873', '15973762', '3071488', '8179407', '0221218', '1817397', '1479650', '4941387', '3289797', '12928075', '3100183', '16086142', '16092414', '11879914', '16086143', '16086144', '6041759', '16086145', '8534494', '4719252', '13029349', '16086146', '12928076', '5193835', '16086147', '16086148', '16086149', '16086150', '16086151', '4154580', '16086152', '16086153', '1663205', '14232031', '16086154', '16086155', '16086156', '16086157', '3575309', '11627281', '16086158', '16086159', '10309031', '0403984', '16086160', '16086161', '9101655', '16086162', '16086163']","['2353862', '1618125', '0171722', None, '2353862']","['0309252', '0172670', '0369235', '0894602', '0670132', '0371830', '0465018', '0951662', '0868510']"
The Big Lebowski,5/10,,2024-04-14,,,,0118715,0118715,The Big Lebowski (1998),https://www.imdb.com/title/tt0118715,,1998,8.1,117,"['Comedy', 'Crime']",884141,"['0001054', '0001053']","['0000313', '0000422', '0000194', '0000114', '0399663', '0000450', '0005346', '0600657', '0671032', '0001780', '0281359', '0901024', '0319541', '0444940', '0001806', '0393841', '0502458', '0123738', '0304579', '0166061', '0410101', '0478311', '0000667', '0255585', '0327059', '0802742', '0000385', '0542000', '0119505', '0281041', '0530151', '0171537', '0001262', '0751762', '0456627', '0689237', '0005181', '0355062', '0482968', '0445316', '0105876', '0006562', '0206176', '0235669', '0482186', '8106383', '6377106']","['0001053', '0001054']","['0030612', '0057311']"
Get Hard,7/10,,2024-04-16,,,,2561572,2561572,Get Hard (2015),https://www.imdb.com/title/tt2561572,,2015,6.0,100,"['Comedy', 'Crime']",150192,['1000113'],"['0002071', '0366389', '0005266', '1555340', '1731401', '4578163', '2974788', '1939267', '0070115', '1243604', '1208510', '1045914', '2045884', '0314524', '3236733', '2562138', '3658497', '2006174', '1664127', '0340561', '5429980', '0077512', '2832704', '1315402', '4209857', '4521360', '6097329', '2414411', '5327070', '0909768', '1040372', '4034873', '0390259', '0930061', '0421004', '2431775', '4766309', '5066866', '5876018', '3417496', '3000058', '3182681', '0928580', '3371872', '1019360', '4504897', '10763974', '4784041', '5022450', '5085894', '6644386', '4597836', '4987843', '6453486', '4320647', '0063910', '1881080', '1419241', '6317414', '2931894', '6365642', '12478593', '4627911', '5665006', '6317422', '5426897', '6324870', '2932094', '6407577', '6330457', '5659684', '5307554', '2678364', '5330533', '6012559', '5225868', '13231992', '6446672', '5954818', '7043475', '6509759', '0266422', '4685775', '6840104', '6543199', '6940382', '5972904', '6243440', '2744237', '5646304', '4615536', '6388724', '6297951', '6060723', '6688403', '2897828', '10216180', '5545351', '4516784', '5454624', '6029193', '6932932', '7680705', '6545104', '4363694', '8334519', '6299556', '6653498', '1891863', '6699665', '5293568', '7407816', '6777481', '3450086', '2119390', '6244711', '6204946', '6628632', '6627495', '6039799', '3649055', '6455317', '6431321', '5857646', '0654139', '6402233', '4538595', '5784185', '4158175', '6088361', '5064101', '6066408', '4614651', '6636790', '6570402', '4230755', '0741893', '5302907', '4621267', '6509718', '8025535', '5450420', '3048872', '13467669', '3928403', '7279304', '6652600', '5096476', '2013443', '6470327', '5363309', '3150444', '6825817', '4695622', '6239330', '2056936', '5196287', '4767923']","['1007602', '0731168', '1000113', None, '0570912', '1007602', '0731168']","['0186190', '0002663']"
"Love, Divided",7/10,,2024-04-16,,,,20198716,20198716,"Love, Divided (2024)",https://www.imdb.com/title/tt20198716,,2024,5.9,98,"['Comedy', 'Romance']",4471,['0284759'],"['9380750', '5274367', '2283457', '0869718', '1499472', '0616475', '4454779', '1026429', '7917379', '8589068', '3948996', '6470821', '8842867', '5782669', '4160421', '2080280', '4509855', '10227710']",['1807891'],"['0144901', '0448698', '0059732']"
You Got Mail,6/10,,2024-04-16,,,,0128853,0128853,You've Got Mail (1998),https://www.imdb.com/title/tt0128853,,1998,6.7,119,"['Comedy', 'Drama']",236413,['0001188'],"['0000158', '0000212', '0001427', '0000205', '0822958', '0001872', '0122688', '0152638', '0001056', '0709907', '0386645', '0769027', '0786806', '0278234', '0045937', '0750658', '0185274', '0295171', '0708381', '0818533', '0812515', '0440787', '0043855', '0756218', '0577060', '0482671', '0614480', '0086798', '0925210', '0237802', '0301797', '0629638', '0446654', '0582149', '0481573', '0812220', '0583942', '0169706', '0029837', '0114348', '0282168', '0094679', '0570429', '0704054', '0343682', '0802816', '0076020', '0011038', '1239705', '1799093', '2484141', '0249977', '4233418', '0004234', '0414416', '14170010', '0443248', '0556624', '1035779', '1474357', '3725667', '1131087']","['0529450', None, '0001188', '0258286']",['0002663']
Top Gun Maverick,8/10,,2024-04-16,,,,1745960,1745960,Top Gun: Maverick (2022),https://www.imdb.com/title/tt1745960,,2022,8.2,130,"['Action', 'Drama']",759530,['2676052'],"['0000129', '0000174', '1886602', '0000124', '1506981', '0358316', '0663174', '4834815', '5730649', '1337350', '6639989', '1412974', '7453477', '3254274', '2745297', '8241861', '4917623', '3100463', '0446465', '7153803', '0000438', '1571692', '4522845', '3192013', '7528190', '10664115', '0934910', '6374804', '4476983', '0827307', '8420743', '13692539', '13692540', '13692541', '0359695', '4744477', '7871113', '13692542', '13648071', '4140414', '4275733', '2262020', '2000144', '13692543', '2372451', '8152145', '9486760', '6976757', '0139327', '9352911', '3420704', '3432218', '1028773', '1340398', '4810368', '8259630', '9404262', '10214510', '5456427', '8458371', '5490654', '9261695', '7392220', '7208710', '7053183', '10099225', '1783154', '2586351', '2986575', '9454990', '9456576', '2534958', '8844149', '10612773', '2738556', '9714005', '13850930', '7346397', '3895186', '3134181', '5686261', '11248798', '4287152', '3614628', '6771211', '2670154', '6437865', '3721715', '7466738', '11158172', '7412422', '7971301', '11058482', '8489931', '5291632', '9065235', '4434428', '9540304']","['0143596', '0258390', None, '0185976', '1098479', None, '0472567', '2545235', '0003160']","['0023400', '0152219', '0026281', '0102770', '0644194']"
Musica,8/10,,2024-04-19,,,,19853698,19853698,Música (2024),https://www.imdb.com/title/tt19853698,,2024,6.4,91,"['Comedy', 'Music']",4920,['5130799'],"['5130799', '6161516', '5590588', '13885365', '1356578', '3969728', '11036653', '1478631', '1693954', '12389495', '3485956', '15851813', '3480365', '9482173', '3942244', '0615592', '7742631', '1866161', '14368437', '14818498', '13541026', '10004101', '1924405', '11022175', '16012785', '16012786', '16012787', '16012788', '6263385', '16012789', '3702275', '14495602', '16012790', '16012791', '16012792', '16012793', '16012794', '16012795', '5447914', '16006719', '16012797', '16012798', '5572977', '16012799', '16012800', '16012801', '16012802', '16012803', '16012804', '1657557', '16012796']","['5130799', '2356525']","['0007143', '0319272', '0080859', '0647962']"
27 Dresses,7/10,,2024-04-19,,,,0988595,0988595,27 Dresses (2008),https://www.imdb.com/title/tt0988595,,2008,6.1,111,"['Comedy', 'Romance']",179931,['0281945'],"['0450116', '2724665', '2572554', '2874639', '0001337', '3834495', '1244171', '0339460', '2796342', '2874640', '0005188', '2286975', '0331898', '2641434', '1788789', '1575945', '0997689', '1269983', '0002124', '2874658', '0122653', '0015196', '1807350', '1846914', '0349749', '1839399', '0167024', '1134612', '1566379', '0777214', '0060257', '1473159', '1632114', '2815400', '7494652', '0030900', '2676259', '15956035', '3042157', '1566354', '1076079', '2313560', '1053683', '2684211', '4781316', '4562658', '1622877', '2831205', '0838151', '2865453', '8268473', '2699519', '1141100', '1984317', '2902428', '8575522', '3489810', '7887484', '2453729', '5872478', '1380939', '2385420', '1973866', '2720795', '1760086', '1814166', '3413370', '6564056', '2513964', '2339974', '2057769', '3941316', '2185188', '1971248', '3726530', '1175705', '2896266', '2666795', '2633482', '6243789', '7781845', '5750982', '0443248', '2841197', '1216947', '6283590', '1889927', '13673918', '5008308', '8682537', '2488465', '1197746', '3052397', '8473011', '2925487', '2279227', '2890425', '2786435', '1493534', '4190344', '5940337', '4100388', '3578772', '0735271', '2619207', '3277050', '1647523', '2836216', '2316371', '2544959', '3033469', '4820314', '2337055', '2735175', '1975735', '2902030', '2427472']",['0112459'],"['0017497', '0031181', '0241738']"
Robin Hood: Men in Tights,6/10,,2024-04-23,,,,0107977,0107977,Robin Hood: Men in Tights (1993),https://www.imdb.com/title/tt0107977,,1993,6.7,104,"['Adventure', 'Comedy']",140791,['0000316'],"['0000144', '0507659', '0715953', '0001865', '0087578', '0152638', '0005002', '0146903', '0469503', '0691837', '0001808', '0001772', '0001123', '0887694', '0725894', '0000316', '0849148', '0227431', '0775213', '0564841', '0313364', '0443601', '0039738', '0691551', '0720890', '0048589', '0217935', '0300305', '0820527', '0021607', '0135895', '0507121', '0654452', '0884467', '0825178', '0376383', '0049868', '0102176', '0324091', '0367591', '0228055', '0571178', '0696682', '0381613', '0092034', '0157497', '0215354', '0199118', '0354895', '0417068', '0685760', '0719026', '0209918', '0757266', '0791678', '0345557', '0168387', '0179670', '0537683', '0050507', '0775274', '0887695', '0588496', '0217936', '0195408', '0117399', '0633659', '0435158', '0849714', '0156243', '0321831', '0334283', '0017205', '0363193', '0001387', '0416415', '0564286', '0748008', '0821179', '1505108', '0832658', '0998404']","['0788526', '0151362', None, '0000316', '0151362', '0788526']","['0000858', '0172053']"
Children of Men,7/10,,2024-04-23,,,,0206634,0206634,Children of Men (2006),https://www.imdb.com/title/tt0206634,,2006,7.9,109,"['Drama', 'Sci-Fi']",544362,['0190859'],"['0944819', '1090043', '1035253', '2474359', '0203935', '0272055', '2474357', '2474356', '2474363', '0924481', '2474492', '0654110', '0568522', '0369340', '2060857', '0439507', '0000323', '0882045', '0402271', '2040091', '1561546', '0084232', '0252230', '0000194', '1645646', '2037684', '0688857', '1141268', '0396812', '2067953', '0341768', '2787760', '0274913', '1715135', '1897902', '0408449', '1616822', '0497856', '1339304', '1528267', '1439098', '0464522', '0724634', '0271538', '1711147', '1934291', '1407085', '1420961', '0657794', '0611932', '0344464', '0551951', '1146398', '1833012', '0872633', '0787048', '1336552', '1276879', '0670781', '0699306', '2474361', '2474350', '2393360', '2474349', '0891483', '0111685', '1664462', '2642093', '6454657', '13206644', '3179253', '3438457', '2583991', '2112350', '4002420', '1876252', '1693530', '12229153', '2889505', '4413907', '6914713', '2523661', '3187373', '2600009', '0416807', '1978998', '0501867', '3051682', '7270524', '1478591', '1031296', '2808815', '3189842', '2188842', '2691331', '1032791', '2253092', '7698981', '1949559', '2798722', '2339366', '1738685']","['0190859', '0786694', '0033153', '1318843', '1319757', None, '0416807']","['0005073', '0086710', '0011026', '0612222', '0064457']"
The Others,7/10,,2024-04-29,,,,0230600,0230600,The Others (2001),https://www.imdb.com/title/tt0230600,,2001,7.6,101,"['Horror', 'Mystery']",406882,['0024622'],"['0000173', '0001217', '0001172', '0542635', '0972848', '0843059', '0144187', '0038914', '0717276', '0020717', '0265610', '1019987', '0530341', '0342067']",['0024622'],"['0012382', '0080755', '0071552', '0019626', '0028557', '0047476', '0022594']"
The Way Back,7/10,,2024-04-30,,,,1727388,1727388,The Way Way Back (2013),https://www.imdb.com/title/tt1727388,,2013,7.4,103,"['Comedy', 'Drama']",159706,"['0269542', '0711110']","['0136797', '0001057', '0005049', '1455681', '0005377', '0748973', '0416699', '1117791', '0001605', '3788762', '4534201', '0269542', '0711110', '4835911', '3924836', '2953573', '5773705', '4346731', '5119268', '4917623', '5133879', '5773706', '5773707', '0054145', '5849834', '5773708', '2560460', '2789132', '4663027', '1446091', '9792589', '6415035', '2728461', '2497210', '4072891', '4068017', '4473191', '5830162', '6499181', '3566356', '5503431', '6916495', '2849144', '4152545', '4973212', '4098984']","['0269542', '0711110']","['0326604', '0372870', '0113140', '0436153']"
Spy x Family:Code White,6/10,,2024-04-30,,,,26684398,26684398,Spy x Family Code: White (2023),https://www.imdb.com/title/tt26684398,,2023,7.3,110,"['Animation', 'Action']",6411,"['0299173', '12664801']","['3414040', '6662487', '2977461', '3401959', '1919164', '4785118', '0949049', '2770525', '0945377', '8034028', '2235310', '7584526', '12605667', '3101220', '8810412', '8109684', '14893774', '1891168', '8792229', '0157133', '0319980', '1708798', '2612279', '14822598', '8645081', '7170368', '10126673', '3002430', '1327264', '7387391', '0557287', '1903507', '7969465', '2867434', '3009719', '7969122', '3351936', '6741358', '3340306', '7387435', '7523501', '11226719', '4630205', '11263603', '10666427', '7257262']","['12957639', None, '1287521']","['0403036', '0716235', '0484522']"
Edge of Seventeen,8/10,,2024-05-01,,,,1878870,1878870,The Edge of Seventeen (2016),https://www.imdb.com/title/tt1878870,,2016,7.3,104,"['Comedy', 'Drama']",145199,['2609807'],"['2794962', '4726634', '4296357', '0001718', '0000437', '4861659', '1947611', '0444776', '5050435', '0004028', '6615984', '7661646', '5031540', '5246346', '6897690', '5666334', '0005243', '0835758', '5820794', '1528483', '6657206', '0730510', '0378607', '3351930', '3272103', '7284159', '8450906', '6443912', '6889897', '7644856', '1792547']",['2609807'],"['0035761', '0099734', '0033486', '0249694']"
The Losers,4/10,,2024-05-05,,,,0480255,0480255,The Losers (2010),https://www.imdb.com/title/tt0480255,,2010,6.2,97,"['Action', 'Adventure']",108911,['1234893'],"['0604742', '0757855', '0262635', '0252961', '1551922', '1049982', '0000574', '0564697', '0531589', '0416838', '1484752', '0320169', '3869411', '1744237', '0912836', '1411388', '1816205', '0592030', '3863334', '2322406', '3862839', '3862557', '1941103', '3862924', '3863131', '3862900', '3863626', '3862850', '3862586', '3862595', '3862739', '1362540', '0466376', '8399294', '4005552', '3738746', '4410667', '3888329', '2397267', '9574363', '1392040']","['0000916', '0888743', None, '2038618', '3853840']","['0002663', '0050870', '0093488', '0047476', '0107058', '0123927']"
The Idea of You,7/10,,2024-05-06,,,,9466114,9466114,The Idea of You (2024),https://www.imdb.com/title/tt9466114,,2024,6.3,115,"['Comedy', 'Drama']",70633,['0795290'],"['0004266', '5954280', '5840032', '1754239', '1169428', '3018183', '9173586', '14194142', '5453331', '9714056', '1219362', '15629236', '10017124', '3287822', '10653594', '0636218', '2179201', '9015216', '4799224', '0203079', '2314705', '8418381', '6287486', '8765831', '10363790', '9472318', '9940227', '3965736', '4182692', '1390793', '7349608', '4323552', '2718637', '7584397', '4434362', '5459852', '14488271', '2721727', '12374940', '15891567', '15891570', '4394836', '12863278', '11920787', '3364473', '9915611', '13207145', '6837958', '13835767', '14099189', '14333116', '3212274']","['0498146', None, '0795290', '0922724']","['0319272', '0695123', '0943051', '0628338']"
