URL,name,len,Long Title
https://www.imdb.com/name/nm0000158/,Tom Hanks,7,"['The Money Pit (1986)', 'Sleepless in Seattle (1993)', 'Captain Phillips (2013)', ""You've Got Mail (1998)"", 'Catch Me If You Can (2002)', 'Big (1988)', 'Here (2024)']"
https://www.imdb.com/name/nm0619555/,Stu Nahan,7,"['Fast Times at Ridgemont High (1982)', 'Rocky IV (1985)', 'Rocky II (1979)', 'Rocky Balboa (2006)', 'Rocky III (1982)', 'Rocky (1976)', 'Rocky V (1990)']"
https://www.imdb.com/name/nm0000242/,Mark Wahlberg,7,"['The Departed (2006)', ""Daddy's Home (2015)"", 'Scoob! (2020)', 'Instant Family (2018)', ""Daddy's Home 2 (2017)"", 'Ted 2 (2015)', 'The Other Guys (2010)']"
https://www.imdb.com/name/nm1374980/,Zac Efron,7,"['Scoob! (2020)', 'Neighbors 2: Sorority Rising (2016)', 'A Family Affair (2024)', 'The Iron Claw (2023)', 'Ricky Stanicky (2024)', 'The Lorax (2012)', 'Neighbors (2014)']"
https://www.imdb.com/name/nm1159180/,Ed Helms,7,"['Captain Underpants: The First Epic Movie (2017)', 'Confessions of a Shopaholic (2009)', 'Family Switch (2023)', 'The Lorax (2012)', ""Ron's Gone Wrong (2021)"", 'Vacation (2015)', 'They Came Together (2014)']"
https://www.imdb.com/name/nm3927383/,Sunny Sandler,7,"['Home Team (2022)', 'Blended (2014)', 'The Out-Laws (2023)', 'The Wrong Missy (2020)', 'Leo (2023)', 'Just Go with It (2011)', 'Pixels (2015)']"
https://www.imdb.com/name/nm0005351/,Ryan Reynolds,7,"['Waiting... (2005)', 'The Croods (2013)', 'Turbo (2013)', 'The Adam Project (2022)', 'Deadpool & Wolverine (2024)', 'The Croods: A New Age (2020)', 'IF (2024)']"
https://www.imdb.com/name/nm0144425/,Craig Castaldo,7,"['The Secret Life of Walter Mitty (2013)', 'Mr. Deeds (2002)', 'Killers of the Flower Moon (2023)', 'Two Weeks Notice (2002)', 'Just My Luck (2006)', 'IF (2024)', 'The Departed (2006)']"
https://www.imdb.com/name/nm1659122/,David Collihan,7,"[""She's Out of My League (2010)"", 'Glass (2019)', 'Split (2016)', 'Silver Linings Playbook (2012)', 'Creed II (2018)', 'Creed (2015)', 'Rocky Balboa (2006)']"
https://www.imdb.com/name/nm0004802/,Linda Cardellini,6,"[""Daddy's Home 2 (2017)"", ""Daddy's Home (2015)"", 'The Founder (2016)', 'Nutcrackers (2024)', 'Brokeback Mountain (2005)', 'Green Book (2018)']"
https://www.imdb.com/name/nm0521781/,Jonathan Loughran,6,"['Blended (2014)', 'Just Go with It (2011)', 'Leo (2023)', 'The Wrong Missy (2020)', 'Pixels (2015)', 'The Waterboy (1998)']"
https://www.imdb.com/name/nm3413370/,John Franchi,6,"[""Daddy's Home 2 (2017)"", 'Zookeeper (2011)', 'Dan in Real Life (2007)', 'The Departed (2006)', 'Ted 2 (2015)', '27 Dresses (2008)']"
https://www.imdb.com/name/nm5857646/,Joseph Oliveira,6,"[""Daddy's Home 2 (2017)"", 'Ted 2 (2015)', 'Get Hard (2015)', 'Prisoners (2013)', 'The Departed (2006)', 'Mr. Deeds (2002)']"
https://www.imdb.com/name/nm0580565/,Burgess Meredith,6,"['Rocky (1976)', 'Rocky II (1979)', 'Rocky III (1982)', 'Rocky IV (1985)', 'Rocky V (1990)', 'Rocky Balboa (2006)']"
https://www.imdb.com/name/nm0352778/,Bill Hader,6,"['The Angry Birds Movie (2016)', 'IF (2024)', 'They Came Together (2014)', 'Knocked Up (2007)', 'Turbo (2013)', 'Lightyear (2022)']"
https://www.imdb.com/name/nm0930254/,Chino 'Fats' Williams,6,"['Rocky II (1979)', 'Planes, Trains & Automobiles (1987)', 'The Terminator (1984)', 'Rocky III (1982)', 'Rocky (1976)', 'Weird Science (1985)']"
