name,len,Long Title
Netflix,9,"['Hit Man (2023)', 'The Wrong Missy (2020)', 'Love, Divided (2024)', 'Lift (2024)', 'The Guilty (2021)', 'Leo (2023)', 'The Kissing Booth (2018)', 'The Gray Man (2022)', 'The Sea Beast (2022)']"
Chartoff-Winkler Productions,9,"['Rocky Balboa (2006)', 'Rocky V (1990)', 'Rocky IV (1985)', 'Creed II (2018)', 'Rocky III (1982)', 'Rocky II (1979)', 'Creed III (2023)', 'Rocky (1976)', 'Creed (2015)']"
Amblin Entertainment,8,"['The Adventures of Tintin (2011)', 'The Money Pit (1986)', 'Catch Me If You Can (2002)', 'Twisters (2024)', 'Twister (1996)', 'The Fabelmans (2022)', 'Harry and the Hendersons (1987)', 'The Little Rascals (1994)']"
Miramax,8,"['Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Beekeeper (2024)', 'Get Over It (2001)', 'The Holdovers (2023)', 'Here (2024)', ""Bridget Jones's Diary (2001)"", 'The Others (2001)']"
Québec Production Services Tax Credit,8,"['Wicked (2024)', 'IF (2024)', 'Venom: The Last Dance (2024)', 'Wonka (2023)', 'Ghostbusters: Frozen Empire (2024)', 'Gladiator II (2024)', 'Deadpool & Wolverine (2024)', 'The Flash (2023)']"
Amazon Studios,7,"['Air (2023)', 'Jackpot! (2024)', 'Música (2024)', 'Killer Heat (2024)', 'Upgraded (2024)', 'The Idea of You (2024)', 'Five Blind Dates (2024)']"
Blumhouse Productions,6,"['Sinister (2012)', 'Glass (2019)', 'Split (2016)', 'The Lie (2018)', 'Insidious: The Red Door (2023)', 'Afraid (2024)']"
Dreamworks Pictures,6,"['Carry-On (2024)', 'Green Book (2018)', ""She's Out of My League (2010)"", 'Catch Me If You Can (2002)', 'Norbit (2007)', 'EuroTrip (2004)']"
Blinding Edge Pictures,6,"['Trap (2024)', 'Caddo Lake (2024)', 'Knock at the Cabin (2023)', 'Glass (2019)', 'Split (2016)', 'Unbreakable (2000)']"
New Regency Productions,6,"['The Bikeriders (2023)', 'Birdman or (The Unexpected Virtue of Ignorance) (2014)', 'The Girl Next Door (2004)', 'First Daughter (2004)', 'Just My Luck (2006)', 'Gone Girl (2014)']"
Summit Entertainment,6,"['Warm Bodies (2013)', 'The Hurt Locker (2008)', 'Penelope (2006)', 'Memento (2000)', '50/50 (2011)', 'Sinister (2012)']"
20th Century Studios,6,"['Deadpool & Wolverine (2024)', ""Ron's Gone Wrong (2021)"", 'Kingdom of the Planet of the Apes (2024)', 'A Haunting in Venice (2023)', 'The Bikeriders (2023)', 'Prey (2022)']"
StudioCanal,6,"[""Bridget Jones's Diary (2001)"", 'The Others (2001)', 'Non-Stop (2014)', 'The Losers (2010)', 'Man Up (2015)', 'Shaun the Sheep Movie (2015)']"
Sony Pictures Animation,5,"['Arthur Christmas (2011)', 'The Angry Birds Movie (2016)', 'Lyle, Lyle, Crocodile (2022)', 'The Pirates! Band of Misfits (2012)', 'Vivo (2021)']"
A24,5,"['Eighth Grade (2018)', 'Past Lives (2023)', 'I Saw the TV Glow (2024)', 'The Whale (2022)', 'The Iron Claw (2023)']"
Davis Entertainment,5,"[""Gulliver's Travels (2010)"", 'First Daughter (2004)', 'Norbit (2007)', 'Prey (2022)', 'Harold and the Purple Crayon (2024)']"
Focus Features,5,"['The Bikeriders (2023)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Brokeback Mountain (2005)', 'Dan in Real Life (2007)', 'Lost in Translation (2003)']"
Touchstone Pictures,5,"['The Hot Chick (2002)', 'The Waterboy (1998)', 'Dan in Real Life (2007)', 'Unbreakable (2000)', 'Confessions of a Shopaholic (2009)']"
The Kennedy/Marshall Company,5,"['The Sixth Sense (1999)', 'The Adventures of Tintin (2011)', 'Twisters (2024)', 'Catch Me If You Can (2002)', 'The Curious Case of Benjamin Button (2008)']"
Skydance Media,5,"['Annihilation (2018)', 'Top Gun: Maverick (2022)', 'The Adam Project (2022)', 'Air (2023)', 'Mission: Impossible - Dead Reckoning Part One (2023)']"
Relativity Media,5,"['Talladega Nights: The Ballad of Ricky Bobby (2006)', 'Free Birds (2013)', 'The Social Network (2010)', 'Movie 43 (2013)', 'Baby Mama (2008)']"
DC Entertainment,5,"['The Lego Batman Movie (2017)', 'Joker: Folie à Deux (2024)', 'The Flash (2023)', 'The Losers (2010)', 'Birds of Prey (2020)']"
Walt Disney Animation Studios,5,"['Moana 2 (2024)', 'Strange World (2022)', 'Wish (2023)', 'Melody Time (1948)', 'The Aristocats (1970)']"
Village Roadshow Pictures,5,"['Wonka (2023)', 'Two Weeks Notice (2002)', 'Nights in Rodanthe (2008)', 'Yes Man (2008)', 'The Lego Batman Movie (2017)']"
Domain Entertainment (II),5,"['Joker: Folie à Deux (2024)', 'Furiosa: A Mad Max Saga (2024)', 'Twisters (2024)', 'Wonka (2023)', 'Beetlejuice Beetlejuice (2024)']"
Lionsgate,4,"['Borderlands (2024)', 'Akeelah and the Bee (2006)', 'Good Luck Chuck (2007)', 'They Came Together (2014)']"
Gary Sanchez Productions,4,"['Get Hard (2015)', ""Daddy's Home 2 (2017)"", 'The Other Guys (2010)', ""Daddy's Home (2015)""]"
Working Title Films,4,"['The Substance (2024)', ""Bridget Jones's Diary (2001)"", 'The Big Lebowski (1998)', 'Fargo (1996)']"
Hughes Entertainment,4,"['Home Alone 2: Lost in New York (1992)', ""National Lampoon's Christmas Vacation (1989)"", 'Planes, Trains & Automobiles (1987)', 'Maid in Manhattan (2002)']"
Michael De Luca Productions,4,"['Ricky Stanicky (2024)', 'The Social Network (2010)', 'Captain Phillips (2013)', 'The Sitter (2011)']"
Pixar Animation Studios,4,"['Lightyear (2022)', 'Cars 3 (2017)', 'Cars 2 (2011)', 'Inside Out 2 (2024)']"
Castle Rock Entertainment,4,"['Flipped (2010)', 'Two Weeks Notice (2002)', 'The Shawshank Redemption (1994)', 'When Harry Met Sally... (1989)']"
Scott Rudin Productions,4,"['Captain Phillips (2013)', 'Annihilation (2018)', 'The Social Network (2010)', 'The Grand Budapest Hotel (2014)']"
Vertigo Entertainment,4,"['Woman of the Hour (2023)', 'The Departed (2006)', 'The Lego Batman Movie (2017)', 'Nimona (2023)']"
Perfect World Pictures,4,"['Neighbors 2: Sorority Rising (2016)', 'Knock at the Cabin (2023)', 'Glass (2019)', 'Nobody (2021)']"
Roth/Kirschenbaum Films,4,"['The Gray Man (2022)', 'Jackpot! (2024)', 'Anyone But You (2023)', 'A Family Affair (2024)']"
FilmNation Entertainment,4,"['Knock at the Cabin (2023)', 'Anora (2024)', 'The Founder (2016)', 'Sing Street (2016)']"
Sony Pictures Releasing,3,"['Lyle, Lyle, Crocodile (2022)', 'Ghostbusters: Frozen Empire (2024)', 'Insidious: The Red Door (2023)']"
Media Rights Capital,3,"['Ted 2 (2015)', 'Self Reliance (2023)', 'Jerry and Marge Go Large (2022)']"
Gulfstream Pictures,3,"['Blended (2014)', 'The Other Zoey (2023)', 'Upgraded (2024)']"
Canal+,3,"['Anatomy of a Fall (2023)', 'The Others (2001)', 'Non-Stop (2014)']"
Screen Gems,3,"['Insidious: The Red Door (2023)', ""The Pope's Exorcist (2023)"", 'Easy A (2010)']"
Gracie Films,3,"['Big (1988)', 'The Edge of Seventeen (2016)', 'Jerry Maguire (1996)']"
Heyday Films,3,"['Gravity (2013)', 'Yes Man (2008)', 'Wonka (2023)']"
The Weinstein Company,3,"['Silver Linings Playbook (2012)', 'The Founder (2016)', 'Zack and Miri Make a Porno (2008)']"
Mosaic,3,"[""She's Out of My League (2010)"", 'Talladega Nights: The Ballad of Ricky Bobby (2006)', 'The Other Guys (2010)']"
Jerry Bruckheimer Films,3,"['Top Gun: Maverick (2022)', 'Confessions of a Shopaholic (2009)', 'Remember the Titans (2000)']"
Imagine Entertainment,3,"['Family Switch (2023)', 'Fun with Dick and Jane (2005)', 'Liar Liar (1997)']"
United Artists,3,"['Rocky IV (1985)', 'Rocky V (1990)', 'Rocky III (1982)']"
MTV Films,3,"['Coach Carter (2005)', 'Crossroads (2002)', 'Jackass Presents: Bad Grandpa (2013)']"
Polygram Filmed Entertainment,3,"['Fargo (1996)', 'The Big Lebowski (1998)', 'Clue (1985)']"
RatPac-Dune Entertainment,3,"['The Lego Batman Movie (2017)', 'Vacation (2015)', 'Keanu (2016)']"
Illumination Entertainment,3,"['The Lorax (2012)', 'Migration (2023)', 'Despicable Me 4 (2024)']"
